ContractID,LocationID,LocationName,ISOBIN,LocationGroup,IsPrimary,IsTenant,InceptionDate,ExpirationDate,Street,City,SubArea2,SubArea,Area,CRESTA,PostalCode,CountryISO,Latitude,Longitude,UserGeocodeMatchLevel,GeoCoderCode,EnhancedGeoMatchLevelCode,GeocoderAccountId,BuildingValue,OtherValue,ContentsValue,TimeElementValue,DaysCovered,Currency,RiskCount,Premium,ConstructionCodeType,ConstructionCode,ConstructionOther,OccupancyCodeType,OccupancyCode,YearBuilt,NumberOfStories,GrossArea,GrossAreaUnit,BuildingHeight,BuildingHeightUnitCode,Territory,NonCatGroundUpLoss,UDF1,UDF2,UDF3,UDF4,UDF5,LocationDFID,SubAreaName,ISOConstructionCode,ISOOccupancyCode,FloorArea,FloorAreaUnitCode,FloorsOccupied,CustomFloodSOP,CustomFloodSOPType,CustomFloodZone,Defensible Space,Firewise Community Participation,FloorOfInterest,BuildingCondition,BuildingShape,Torsion,SoftStory,ShapeIrregularity,SpecialConstruction,Retrofit,ShortColumn,Ornamentation,WaterHeater,Redundancy,TallOneStory,Equipment,SealofApproval,RoofGeometry,RoofPitch,RoofCover,RoofDeck,RoofCoverAttachment,RoofDeckAttachment,RoofAnchorage,RoofAttachedStructure,RoofYearBuilt,Tank,RoofHailImpactResistance,Chimney,WallType,WallSiding,GlassType,GlassPercent,WindowProtection,ExternalDoors,BuildingExteriorOpening,BrickVeneer,FoundationConnection,FoundationType,InternalPartition,Welding,TransitionInSRC,MultiStoryHallType,LatticeType,IsValueType,ColumnBasement,ColdFormedTube,AttachedStructures,AppurtenantStructures,Pounding,TreeExposure,SmallDebris,LargeMissile,TerrainRoughness,AdjacentBuildingHeight,ProjectCompletion,ProjectPhaseCode,BasementLevelCount,BasementFinishType,CustomElevation,CustomElevationUnit,BaseFloodElevation,BaseFloodElevationUnit,FirstFloorHeight,FirstFloorHeightUnit,ServiceEquipmentProtection,WetFloodProofing,FIRMCompliance,ContentVulnerability,Certified Structures (IBHS),PPC Code,Fire Sprinklers,ContentDamageability,CargoPacking,CargoProtection,SpecieStorage,SprinklerType,SalvagePotential,LocPerils,LocLimitType,LimitBldg,LimitOther,LimitContent,LimitTime,Participation1,Participation2,DeductType,DeductBldg,DeductOther,DeductContent,DeductTime,AggregateLimitType,AggregateLimit,MinMaxDeductType,MinDeduct,MaxDeduct,AggregateDeductType,AggregateDeduct,SublimitArea,LocPerils 2,LocLimitType 2,LimitBldg 2,LimitOther 2,LimitContent 2,LimitTime 2,Participation1 2,Participation2 2,DeductType 2,DeductBldg 2,DeductOther 2,DeductContent 2,DeductTime 2,AggregateLimitType 2,AggregateLimit 2,MinMaxDeductType 2,MinDeduct 2,MaxDeduct 2,AggregateDeductType 2,AggregateDeduct 2,SublimitArea 2,LocPerils 3,LocLimitType 3,LimitBldg 3,LimitOther 3,LimitContent 3,LimitTime 3,Participation1 3,Participation2 3,DeductType 3,DeductBldg 3,DeductOther 3,DeductContent 3,DeductTime 3,AggregateLimitType 3,AggregateLimit 3,MinMaxDeductType 3,MinDeduct 3,MaxDeduct 3,AggregateDeductType 3,AggregateDeduct 3,SublimitArea 3,LocPerils 4,LocLimitType 4,LimitBldg 4,LimitOther 4,LimitContent 4,LimitTime 4,Participation1 4,Participation2 4,DeductType 4,DeductBldg 4,DeductOther 4,DeductContent 4,DeductTime 4,AggregateLimitType 4,AggregateLimit 4,MinMaxDeductType 4,MinDeduct 4,MaxDeduct 4,AggregateDeductType 4,AggregateDeduct 4,SublimitArea 4,LocPerils 5,LocLimitType 5,LimitBldg 5,LimitOther 5,LimitContent 5,LimitTime 5,Participation1 5,Participation2 5,DeductType 5,DeductBldg 5,DeductOther 5,DeductContent 5,DeductTime 5,AggregateLimitType 5,AggregateLimit 5,MinMaxDeductType 5,MinDeduct 5,MaxDeduct 5,AggregateDeductType 5,AggregateDeduct 5,SublimitArea 5,LocPerils 6,LocLimitType 6,LimitBldg 6,LimitOther 6,LimitContent 6,LimitTime 6,Participation1 6,Participation2 6,DeductType 6,DeductBldg 6,DeductOther 6,DeductContent 6,DeductTime 6,AggregateLimitType 6,AggregateLimit 6,MinMaxDeductType 6,MinDeduct 6,MaxDeduct 6,AggregateDeductType 6,AggregateDeduct 6,SublimitArea 6
400_400,400_400_5804,5804,,5804,1,0,01/01/2022,31/12/2022,270 TOWN CENTER PKWY,SANTEE,,73,CA,,92071,US,32.843764,-116.985091,2 - STREET/PARCEL/BUILDING,RMS,,,0,0,638187,3207568,365,USD,1,0,AIR,117,117,AIR,312,1990,1,24039,SQFT,0,M,,0,,,,,,,San Diego,,,0,SQFT,,-999,H,0,-999,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-999,,-999,,-999,,0,0,0,0,0,,0,0,0,0,0,0,0,PES,N,0,0,0,0,1,1,N,0,0,0,0,N,0,N,0,0,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400_400,400_400_5805,5805,,5805,1,0,01/01/2022,31/12/2022,72250 HIGHWAY 111,PALM DESERT,,65,CA,,92260,US,33.731116,-116.403011,2 - STREET/PARCEL/BUILDING,RMS,,,7319660,0,1026457,2566930,365,USD,1,0,AIR,101,101,AIR,312,1994,1,24386,SQFT,0,M,,0,,,,,,,Riverside,,,0,SQFT,,-999,H,0,-999,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-999,,-999,,-999,,0,0,0,0,0,,0,0,0,0,0,0,0,PES,N,0,0,0,0,1,1,N,0,0,0,0,N,0,N,0,0,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400_400,400_400_5806,5806,,5806,1,0,01/01/2022,31/12/2022,3237 SPORTS ARENA BLVD,SAN DIEGO,,73,CA,,92110,US,32.75282,-117.20859,2 - STREET/PARCEL/BUILDING,RMS,,,2930280,0,1027846,4686648,365,USD,1,0,AIR,101,101,AIR,312,1995,1,24419,SQFT,0,M,,0,,,,,,,San Diego,,,0,SQFT,,-999,H,0,-999,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-999,,-999,,-999,,0,0,0,0,0,,0,0,0,0,0,0,0,PES,N,0,0,0,0,1,1,N,0,0,0,0,N,0,N,0,0,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400_400,400_400_5807,5807,,5807,1,0,01/01/2022,31/12/2022,1750 S BASCOM AVE.,CAMPBELL,,85,CA,,95008,US,37.29092,-121.931128,2 - STREET/PARCEL/BUILDING,RMS,,,2212164,0,1052302,1511758,365,USD,1,0,AIR,117,117,AIR,312,1985,1,25000,SQFT,0,M,,0,,,,,,,Santa Clara,,,0,SQFT,,-999,H,0,-999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-999,,-999,,-999,,0,0,0,0,0,,0,0,0,0,0,0,0,PES,N,0,0,0,0,1,1,N,0,0,0,0,N,0,N,0,0,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400_400,400_400_5808,5808,,5808,1,0,01/01/2022,31/12/2022,9916 NE HALSEY ST.,PORTLAND,,51,OR,,97220,US,45.53325,-122.56104,2 - STREET/PARCEL/BUILDING,RMS,,,0,0,610482,2879336,365,USD,1,0,AIR,117,117,AIR,312,1970,1,24108,SQFT,0,M,,0,,,,,,,Multnomah,,,0,SQFT,,-999,H,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,,-999,,-999,,0,0,0,0,0,,0,0,0,0,0,0,0,PES,N,0,0,0,0,1,1,N,0,0,0,0,N,0,N,0,0,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400_400,400_400_5809,5809,,5809,1,0,01/01/2022,31/12/2022,5733 CHRISTIE AVE.,EMERYVILLE,,1,CA,,94608,US,37.83691,-122.29377,2 - STREET/PARCEL/BUILDING,RMS,,,0,0,737424,4515179,365,USD,1,0,AIR,117,117,AIR,312,1992,1,27777,SQFT,0,M,,0,,,,,,,Alameda,,,0,SQFT,,-999,H,0,-999,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-999,,-999,,-999,,0,0,0,0,0,,0,0,0,0,0,0,0,PES,N,0,0,0,0,1,1,N,0,0,0,0,N,0,N,0,0,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400_400,400_400_5810,5810,,5810,1,0,01/01/2022,31/12/2022,5504 N DIVISION ST.,SPOKANE,,63,WA,,99208,US,47.70793,-117.41085,2 - STREET/PARCEL/BUILDING,RMS,,,0,0,639400,3422844,365,USD,1,0,AIR,117,117,AIR,312,1992,1,25000,SQFT,0,M,,0,,,,,,,Spokane,,,0,SQFT,,-999,H,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,,-999,,-999,,0,0,0,0,0,,0,0,0,0,0,0,0,PES,N,0,0,0,0,1,1,N,0,0,0,0,N,0,N,0,0,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400_400,400_400_5811,5811,,5811,1,0,01/01/2022,31/12/2022,4408 LAS POSITAS RD.,LIVERMORE,,1,CA,,94551,US,37.70022,-121.74527,2 - STREET/PARCEL/BUILDING,RMS,,,2412641,0,1010210,1359036,365,USD,1,0,AIR,117,117,AIR,312,1994,1,24000,SQFT,0,M,,0,,,,,,,Alameda,,,0,SQFT,,-999,H,0,-999,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-999,,-999,,-999,,0,0,0,0,0,,0,0,0,0,0,0,0,PES,N,0,0,0,0,1,1,N,0,0,0,0,N,0,N,0,0,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400_400,400_400_5812,5812,,5812,1,0,01/01/2022,31/12/2022,11850 CARMEL MOUNTAIN RD.,SAN DIEGO,,73,CA,,92128,US,32.981582,-117.078482,2 - STREET/PARCEL/BUILDING,RMS,,,3587690,0,1010210,1839398,365,USD,1,0,AIR,117,117,AIR,312,1992,1,24000,SQFT,0,M,,0,,,,,,,San Diego,,,0,SQFT,,-999,H,0,-999,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-999,,-999,,-999,,0,0,0,0,0,,0,0,0,0,0,0,0,PES,N,0,0,0,0,1,1,N,0,0,0,0,N,0,N,0,0,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400_400,400_400_5813,5813,,5813,1,0,01/01/2022,31/12/2022,14515 OCEAN GATE AVE.,HAWTHORNE,,37,CA,,90250,US,33.899446,-118.367946,2 - STREET/PARCEL/BUILDING,RMS,,,0,0,673841,2437159,365,USD,1,0,AIR,117,117,AIR,312,1991,1,25382,SQFT,0,M,,0,,,,,,,Los Angeles,,,0,SQFT,,-999,H,0,-999,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-999,,-999,,-999,,0,0,0,0,0,,0,0,0,0,0,0,0,PES,N,0,0,0,0,1,1,N,0,0,0,0,N,0,N,0,0,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
