AccNumber,AppurtenantStructure,AreaCode,BIPOI,BITIV,BasementLevelCount,BuildingCondition,BuildingShape,BuildingTIV,City,Cladding,CondTag,ConstructionCode,ContentsTIV,CountryCode,EquipmentBracing,FloorArea,FloorAreaUnit,FloorsOccupied,FoundationConnection,FoundationType,GeocodeQuality,Geocoder,GeogName1,GeogName2,InternalPartition,IsPrimary,IsTenant,Latitude,LocCurrency,LocDed1Building,LocDed2Other,LocDed3Contents,LocDed4BI,LocDedType1Building,LocDedType2Other,LocDedType3Contents,LocDedType4BI,LocExpiryDate,LocGroup,LocInceptionDate,LocLimit1Building,LocLimit2Other,LocLimit3Contents,LocLimit4BI,LocLimitType6All,LocName,LocNumber,LocParticipation,LocPerilsCovered,Longitude,NumberOfStoreys,OccupancyCode,Ornamentation,OtherTIV,PortNumber,PostalCode,Pounding,Retrofit,RoofAnchorage,RoofAttachedStructures,RoofCover,RoofDeckAttachment,RoofGeometry,RoofPitch,ServiceEquipmentProtection,ShortColumn,SmallDebris,SoftStory,StreetAddress,WindowProtection,YearBuilt
400_400,0,CA,365,3207568.0,0,2,0,0.0,SANTEE,0,,5106,638187.0,US,1,24039.0,SQFT,0,0,0,,RMS,,73,1,1,0,32.843764,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5804,01/01/2022,0.0,0.0,0.0,0.0,N,5804,400_400_5804,1.0,PES,-116.985091,1,1101,0,0.0,1,92071,4,0,0,0,0,0,0,0,0,0,0,1,270 TOWN CENTER PKWY,0,1990
400_400,0,CA,365,2566930.0,0,2,0,7319660.0,PALM DESERT,0,,5050,1026457.0,US,1,24386.0,SQFT,0,3,0,,RMS,,65,1,1,0,33.731116,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5805,01/01/2022,0.0,0.0,0.0,0.0,N,5805,400_400_5805,1.0,PES,-116.403011,1,1101,0,0.0,1,92260,4,0,0,0,0,0,0,0,0,0,0,1,72250 HIGHWAY 111,0,1994
400_400,0,CA,365,4686648.0,0,2,0,2930280.0,SAN DIEGO,0,,5050,1027846.0,US,1,24419.0,SQFT,0,3,0,,RMS,,73,1,1,0,32.75282,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5806,01/01/2022,0.0,0.0,0.0,0.0,N,5806,400_400_5806,1.0,PES,-117.20859,1,1101,0,0.0,1,92110,4,0,0,0,0,0,0,0,0,0,0,1,3237 SPORTS ARENA BLVD,0,1995
400_400,0,CA,365,1511758.0,0,0,0,2212164.0,CAMPBELL,0,,5106,1052302.0,US,0,25000.0,SQFT,0,0,0,,RMS,,85,1,1,0,37.29092,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5807,01/01/2022,0.0,0.0,0.0,0.0,N,5807,400_400_5807,1.0,PES,-121.931128,1,1101,0,0.0,1,95008,4,0,0,0,0,0,0,0,0,0,0,1,1750 S BASCOM AVE.,0,1985
400_400,0,OR,365,2879336.0,0,0,0,0.0,PORTLAND,0,,5106,610482.0,US,0,24108.0,SQFT,0,0,0,,RMS,,51,0,1,0,45.53325,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5808,01/01/2022,0.0,0.0,0.0,0.0,N,5808,400_400_5808,1.0,PES,-122.56104,1,1101,0,0.0,1,97220,0,0,0,0,0,0,0,0,0,0,0,0,9916 NE HALSEY ST.,0,1970
400_400,0,CA,365,4515179.0,0,2,0,0.0,EMERYVILLE,0,,5106,737424.0,US,1,27777.0,SQFT,0,0,0,,RMS,,1,1,1,0,37.83691,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5809,01/01/2022,0.0,0.0,0.0,0.0,N,5809,400_400_5809,1.0,PES,-122.29377,1,1101,0,0.0,1,94608,4,0,0,0,0,0,0,0,0,0,0,1,5733 CHRISTIE AVE.,0,1992
400_400,0,WA,365,3422844.0,0,0,0,0.0,SPOKANE,0,,5106,639400.0,US,0,25000.0,SQFT,0,0,0,,RMS,,63,0,1,0,47.70793,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5810,01/01/2022,0.0,0.0,0.0,0.0,N,5810,400_400_5810,1.0,PES,-117.41085,1,1101,0,0.0,1,99208,0,0,0,0,0,0,0,0,0,0,0,0,5504 N DIVISION ST.,0,1992
400_400,0,CA,365,1359036.0,0,2,0,2412641.0,LIVERMORE,0,,5106,1010210.0,US,1,24000.0,SQFT,0,0,0,,RMS,,1,1,1,0,37.70022,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5811,01/01/2022,0.0,0.0,0.0,0.0,N,5811,400_400_5811,1.0,PES,-121.74527,1,1101,0,0.0,1,94551,4,0,0,0,0,0,0,0,0,0,0,1,4408 LAS POSITAS RD.,0,1994
400_400,0,CA,365,1839398.0,0,2,0,3587690.0,SAN DIEGO,0,,5106,1010210.0,US,1,24000.0,SQFT,0,0,0,,RMS,,73,1,1,0,32.981582,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5812,01/01/2022,0.0,0.0,0.0,0.0,N,5812,400_400_5812,1.0,PES,-117.078482,1,1101,0,0.0,1,92128,4,0,0,0,0,0,0,0,0,0,0,1,11850 CARMEL MOUNTAIN RD.,0,1992
400_400,0,CA,365,2437159.0,0,2,0,0.0,HAWTHORNE,0,,5106,673841.0,US,1,25382.0,SQFT,0,0,0,,RMS,,37,1,1,0,33.899446,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5813,01/01/2022,0.0,0.0,0.0,0.0,N,5813,400_400_5813,1.0,PES,-118.367946,1,1101,0,0.0,1,90250,4,0,0,0,0,0,0,0,0,0,0,1,14515 OCEAN GATE AVE.,0,1991
400_400,0,CA,365,1623298.0,0,2,0,2033239.0,AZUSA,0,,5106,1052302.0,US,1,25000.0,SQFT,0,0,0,,RMS,,37,1,1,0,34.12893,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5814,01/01/2022,0.0,0.0,0.0,0.0,N,5814,400_400_5814,1.0,PES,-117.89188,1,1101,0,0.0,1,91702,4,0,0,0,0,0,0,0,0,0,0,1,820 E ALOSTA AVE.,0,1993
400_400,0,CA,365,3520631.0,0,2,0,1951909.0,VACAVILLE,0,,5106,1010210.0,US,1,24000.0,SQFT,0,0,0,,RMS,,95,1,1,0,38.36105,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5815,01/01/2022,0.0,0.0,0.0,0.0,N,5815,400_400_5815,1.0,PES,-121.96367,1,1101,0,0.0,1,95687,4,0,0,0,0,0,0,0,0,0,0,1,2071 HARBISON DR.,0,1992
400_400,0,CA,365,4092179.0,0,2,0,1951909.0,EL CAJON,0,,5106,1010210.0,US,1,24000.0,SQFT,0,0,0,,RMS,,73,1,1,0,32.74461,USD,0.0,0.0,0.0,0.0,0,0,0,0,31/12/2022,5816,01/01/2022,0.0,0.0,0.0,0.0,N,5816,400_400_5816,1.0,PES,-116.93075,1,1101,0,0.0,1,92019,4,0,0,0,0,0,0,0,0,0,0,1,2520 JAMACHA RD.,0,1996
