UDF1,ContractID,UDF3,LayerID,LOB,InceptionDate,ExpirationDate,Perils,DedType,DedAmt1,DedAmt2,LimitType,Limit1,Limit2,AttachmentAmt,Premium,Currency,InsuredName,SubLimitArea,SubLimitOcc,SubLimitPart,SubLimitLimitType,SubLimitDedType,SubLimitDedAmt1,SubLimitDedAmt2
35023288,130718,35023288,183708,SmComml,05/18/2021,05/18/2022,PWA,N,0,0,B,5090740,0,0,0,USD,SmComml,,,,,,,
35023452,130719,35023452,183709,SmComml,06/26/2020,09/30/2021,PWA,N,0,0,B,4935009,0,0,0,USD,SmComml,,,,,,,
35023469,130720,35023469,189105,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,9432680,0,0,0,USD,SmComml,,,,,,,
35029817,130721,35029817,189106,SmComml,02/15/2021,02/15/2022,PWA,N,0,0,B,10359000,0,0,0,USD,SmComml,,,,,,,
35029819,130722,35029819,198292,SmComml,05/23/2021,05/23/2022,PWA,N,0,0,B,325000,0,0,0,USD,SmComml,,,,,,,
35029822,130723,35029822,189107,SmComml,08/15/2020,08/15/2021,PWA,N,0,0,B,23835100,0,0,0,USD,SmComml,,,,,,,
35029823,130724,35029823,198293,SmComml,09/01/2020,09/01/2021,PWA,N,0,0,B,162542,0,0,0,USD,SmComml,,,,,,,
35029824,130725,35029824,198294,SmComml,09/20/2020,09/20/2021,PWA,N,0,0,B,228637,0,0,0,USD,SmComml,,,,,,,
35029825,130726,35029825,198295,SmComml,11/01/2020,11/01/2021,PWA,N,0,0,B,3745364,0,0,0,USD,SmComml,,,,,,,
35029826,130727,35029826,189108,SmComml,04/24/2021,04/24/2022,PWA,N,0,0,B,22450000,0,0,0,USD,SmComml,,,,,,,
35029829,130728,35029829,189109,SmComml,02/01/2021,02/01/2022,PWA,N,0,0,B,3012000,0,0,0,USD,SmComml,,,,,,,
35029833,130729,35029833,198296,SmComml,02/20/2021,02/20/2022,PWA,N,0,0,B,762486,0,0,0,USD,SmComml,,,,,,,
35029841,130730,35029841,189110,SmComml,10/15/2020,10/15/2021,PWA,N,0,0,B,22214475,0,0,0,USD,SmComml,,,,,,,
35029843,130731,35029843,189111,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,4897000,0,0,0,USD,SmComml,,,,,,,
35029844,130732,35029844,189112,SmComml,09/01/2020,09/01/2021,PWA,N,0,0,B,81581350,0,0,0,USD,SmComml,,,,,,,
35029845,130733,35029845,198297,SmComml,11/01/2020,11/01/2021,PWA,N,0,0,B,3728384,0,0,0,USD,SmComml,,,,,,,
35029849,130734,35029849,198298,SmComml,01/15/2021,01/15/2022,PWA,N,0,0,B,1037280,0,0,0,USD,SmComml,,,,,,,
35029850,130735,35029850,189113,SmComml,03/01/2021,03/01/2022,PWA,N,0,0,B,178942770,0,0,0,USD,SmComml,,,,,,,
35029851,130736,35029851,189114,SmComml,05/05/2021,05/05/2022,PWA,N,0,0,B,202060600,0,0,0,USD,SmComml,,,,,,,
35029852,130737,35029852,183710,SmComml,05/08/2021,05/08/2022,PWA,N,0,0,B,343944207,0,0,0,USD,SmComml,,,,,,,
35029854,130738,35029854,198299,SmComml,06/17/2021,06/17/2022,PWA,N,0,0,B,62400,0,0,0,USD,SmComml,,,,,,,
35029855,130739,35029855,189115,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,57796000,0,0,0,USD,SmComml,,,,,,,
35029856,130740,35029856,183711,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,5218000,0,0,0,USD,SmComml,,,,,,,
35029860,130741,35029860,189116,SmComml,10/30/2020,10/30/2021,PWA,N,0,0,B,3290600,0,0,0,USD,SmComml,,,,,,,
35029861,130742,35029861,198300,SmComml,12/01/2020,12/01/2021,PWA,N,0,0,B,4425000,0,0,0,USD,SmComml,,,,,,,
35029862,130743,35029862,189117,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,10403800,0,0,0,USD,SmComml,,,,,,,
35031666,111660,35031666_WS,162868,SmComml,08/01/2020,08/01/2021,PWA,N,0,0,B,900000,0,0,0,USD,SmComml,,,,,,,
35031666,130744,35031666,183712,SmComml,08/01/2020,08/01/2021,PWA,N,0,0,B,49682000,0,0,0,USD,SmComml,,,,,,,
35035694,130745,35035694,189118,SmComml,10/31/2020,10/31/2021,PWA,N,0,0,B,11673976,0,0,0,USD,SmComml,,,,,,,
35045826,130746,35045826,189119,SmComml,03/01/2021,03/01/2022,PWA,N,0,0,B,137298564,0,0,0,USD,SmComml,,,,,,,
35046148,130747,35046148,183713,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,173320455,0,0,0,USD,SmComml,,,,,,,
35046353,130748,35046353,189120,SmComml,02/01/2021,02/01/2022,PWA,N,0,0,B,119006545,0,0,0,USD,SmComml,,,,,,,
35046642,130749,35046642,189121,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,37982962,0,0,0,USD,SmComml,,,,,,,
35046673,130750,35046673,183714,SmComml,12/31/2020,12/31/2021,PWA,N,0,0,B,47373868,0,0,0,USD,SmComml,,,,,,,
35047557,130751,35047557,183715,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,42884862,0,0,0,USD,SmComml,,,,,,,
35047558,130752,35047558,198301,SmComml,05/29/2021,05/29/2022,PWA,N,0,0,B,532800,0,0,0,USD,SmComml,,,,,,,
35047561,130753,35047561,198302,SmComml,06/01/2021,06/01/2022,PWA,N,0,0,B,220000,0,0,0,USD,SmComml,,,,,,,
35047562,130754,35047562,198303,SmComml,06/18/2020,09/30/2021,PWA,N,0,0,B,120598,0,0,0,USD,SmComml,,,,,,,
35047565,130755,35047565,198304,SmComml,08/01/2020,08/01/2021,PWA,N,0,0,B,100000,0,0,0,USD,SmComml,,,,,,,
35047567,130756,35047567,198305,SmComml,07/21/2020,07/21/2021,PWA,N,0,0,B,12000000,0,0,0,USD,SmComml,,,,,,,
35047569,130757,35047569,183716,SmComml,08/01/2020,08/01/2021,PWA,N,0,0,B,19041532,0,0,0,USD,SmComml,,,,,,,
35047573,130758,35047573,198306,SmComml,09/01/2020,09/01/2021,PWA,N,0,0,B,1012378,0,0,0,USD,SmComml,,,,,,,
35047574,130759,35047574,198307,SmComml,08/11/2020,08/11/2021,PWA,N,0,0,B,9841320,0,0,0,USD,SmComml,,,,,,,
35047577,130760,35047577,183717,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,14990000,0,0,0,USD,SmComml,,,,,,,
35047578,130761,35047578,189122,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,4823520,0,0,0,USD,SmComml,,,,,,,
35047579,130762,35047579,189123,SmComml,09/30/2020,09/30/2021,PWA,N,0,0,B,2017600,0,0,0,USD,SmComml,,,,,,,
35047627,130763,35047627,198308,SmComml,06/20/2020,09/30/2021,PWA,N,0,0,B,4060000,0,0,0,USD,SmComml,,,,,,,
35048006,130764,35048006,189124,SmComml,04/20/2021,04/20/2022,PWA,N,0,0,B,95038169,0,0,0,USD,SmComml,,,,,,,
35049325,130765,35049325,183718,SmComml,02/18/2021,02/18/2022,PWA,N,0,0,B,2929030,0,0,0,USD,SmComml,,,,,,,
35051579,130766,35051579,198309,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,13758969,0,0,0,USD,SmComml,,,,,,,
35051581,130767,35051581,198310,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,4145293,0,0,0,USD,SmComml,,,,,,,
35051583,130768,35051583,198311,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,25394601,0,0,0,USD,SmComml,,,,,,,
35052925,130769,35052925,189125,SmComml,08/21/2020,08/21/2021,PWA,N,0,0,B,100000000,0,0,0,USD,SmComml,,,,,,,
35057017,130770,35057017,189126,SmComml,10/06/2020,10/06/2021,PWA,N,0,0,B,2562634,0,0,0,USD,SmComml,,,,,,,
35057650,130771,35057650,198312,SmComml,11/01/2020,11/01/2021,PWA,N,0,0,B,74041198,0,0,0,USD,SmComml,,,,,,,
35058652,130772,35058652,198313,SmComml,06/08/2021,06/08/2022,PWA,N,0,0,B,8005000,0,0,0,USD,SmComml,,,,,,,
35060783,111661,35060783_WS,162143,SmComml,11/01/2020,11/01/2021,PWA,N,0,0,B,16596118,0,0,0,USD,SmComml,,,,,,,
35060783,130773,35060783,189127,SmComml,11/01/2020,11/01/2021,PWA,N,0,0,B,229624231,0,0,0,USD,SmComml,,,,,,,
35061137,130774,35061137,189128,SmComml,09/22/2020,09/22/2021,PWA,N,0,0,B,7410000,0,0,0,USD,SmComml,,,,,,,
35069391,130775,35069391,183719,SmComml,11/30/2020,11/30/2021,PWA,N,0,0,B,57871001,0,0,0,USD,SmComml,,,,,,,
35086106,130776,35086106,183720,SmComml,05/01/2021,05/01/2022,PWA,N,0,0,B,123252650,0,0,0,USD,SmComml,,,,,,,
35086113,111662,35086113_WS,162144,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,750000000,0,0,0,USD,SmComml,,,,,,,
35086113,130777,35086113,183721,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,750000000,0,0,0,USD,SmComml,,,,,,,
35109474,130778,35109474,198314,SmComml,10/05/2020,10/05/2021,PWA,N,0,0,B,7587375,0,0,0,USD,SmComml,,,,,,,
35111787,130779,35111787,189129,SmComml,11/28/2020,11/28/2021,PWA,N,0,0,B,4653508,0,0,0,USD,SmComml,,,,,,,
35113400,130780,35113400,189130,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,93096,0,0,0,USD,SmComml,,,,,,,
35125887,130781,35125887,183722,SmComml,04/01/2021,04/01/2022,PWA,N,0,0,B,13437811,0,0,0,USD,SmComml,,,,,,,
35132498,130782,35132498,189131,SmComml,04/01/2021,04/01/2022,PWA,N,0,0,B,2240324,0,0,0,USD,SmComml,,,,,,,
35134718,130783,35134718,198315,SmComml,08/01/2020,08/01/2021,PWA,N,0,0,B,2969850,0,0,0,USD,SmComml,,,,,,,
35134750,130784,35134750,189132,SmComml,03/31/2021,03/31/2022,PWA,N,0,0,B,2187500,0,0,0,USD,SmComml,,,,,,,
35134751,130785,35134751,189133,SmComml,05/26/2021,05/26/2022,PWA,N,0,0,B,43926200,0,0,0,USD,SmComml,,,,,,,
35134868,111663,35134868_WS,162051,SmComml,06/01/2021,06/01/2022,PWA,N,0,0,B,28405200,0,0,0,USD,SmComml,,,,,,,
35134868,130786,35134868,189134,SmComml,06/01/2021,06/01/2022,PWA,N,0,0,B,453501694,0,0,0,USD,SmComml,,,,,,,
35134969,130787,35134969,189135,SmComml,01/18/2021,01/18/2022,PWA,N,0,0,B,12309524,0,0,0,USD,SmComml,,,,,,,
35134971,130788,35134971,189136,SmComml,04/01/2021,04/01/2022,PWA,N,0,0,B,5796700,0,0,0,USD,SmComml,,,,,,,
35134972,130789,35134972,189137,SmComml,05/10/2021,05/10/2022,PWA,N,0,0,B,862000,0,0,0,USD,SmComml,,,,,,,
35135130,130790,35135130,198316,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,10500000,0,0,0,USD,SmComml,,,,,,,
35135232,130791,35135232,189138,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,1005200,0,0,0,USD,SmComml,,,,,,,
35135255,130792,35135255,183723,SmComml,02/20/2021,02/20/2022,PWA,N,0,0,B,6330272,0,0,0,USD,SmComml,,,,,,,
35139297,130793,35139297,198317,SmComml,10/15/2020,10/15/2021,PWA,N,0,0,B,1695500,0,0,0,USD,SmComml,,,,,,,
35139991,130794,35139991,189139,SmComml,11/21/2020,11/21/2021,PWA,N,0,0,B,44684900,0,0,0,USD,SmComml,,,,,,,
35139991,181813,35139991_WS,235820,SmComml,05/01/2018,09/30/2021,PWA,N,0,0,B,5000,0,0,0,USD,SmComml,,,,,,,
35142270,130795,35142270,198318,SmComml,05/05/2021,05/05/2022,PWA,N,0,0,B,378486,0,0,0,USD,SmComml,,,,,,,
35143830,130796,35143830,198319,SmComml,12/31/2020,12/31/2021,PWA,N,0,0,B,1442332,0,0,0,USD,SmComml,,,,,,,
35143954,130797,35143954,198320,SmComml,03/20/2021,03/20/2022,PWA,N,0,0,B,6527613,0,0,0,USD,SmComml,,,,,,,
35144003,130798,35144003,189140,SmComml,03/01/2021,03/01/2022,PWA,N,0,0,B,177466942,0,0,0,USD,SmComml,,,,,,,
35144206,130799,35144206,189141,SmComml,05/03/2021,05/03/2022,PWA,N,0,0,B,3366368,0,0,0,USD,SmComml,,,,,,,
35144816,130800,35144816,198321,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,5674758,0,0,0,USD,SmComml,,,,,,,
35146038,130801,35146038,198322,SmComml,12/01/2020,12/01/2021,PWA,N,0,0,B,1399060,0,0,0,USD,SmComml,,,,,,,
35150030,130802,35150030,189142,SmComml,02/15/2021,02/15/2022,PWA,N,0,0,B,50735000,0,0,0,USD,SmComml,,,,,,,
35162505,130803,35162505,189143,SmComml,09/01/2020,09/01/2021,PWA,N,0,0,B,23055000,0,0,0,USD,SmComml,,,,,,,
35163212,130804,35163212,183724,SmComml,05/09/2021,05/09/2022,PWA,N,0,0,B,19176688,0,0,0,USD,SmComml,,,,,,,
35163247,130805,35163247,189144,SmComml,03/01/2021,03/01/2022,PWA,N,0,0,B,11395019,0,0,0,USD,SmComml,,,,,,,
35163521,130806,35163521,189145,SmComml,08/31/2020,08/31/2021,PWA,N,0,0,B,7812200,0,0,0,USD,SmComml,,,,,,,
35165349,111664,35165349_WS,162496,SmComml,06/01/2021,06/01/2022,PWA,N,0,0,B,9038051,0,0,0,USD,SmComml,,,,,,,
35165349,130807,35165349,189146,SmComml,06/01/2021,06/01/2022,PWA,N,0,0,B,331367824,0,0,0,USD,SmComml,,,,,,,
35165350,130808,35165350,189147,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,5057001,0,0,0,USD,SmComml,,,,,,,
35165353,130809,35165353,189148,SmComml,08/01/2020,08/01/2021,PWA,N,0,0,B,3397082,0,0,0,USD,SmComml,,,,,,,
35165354,111665,35165354_WS,162497,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,95000,0,0,0,USD,SmComml,,,,,,,
35165354,130810,35165354,183725,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,41822270,0,0,0,USD,SmComml,,,,,,,
35165387,130811,35165387,189149,SmComml,01/20/2021,01/20/2022,PWA,N,0,0,B,285712,0,0,0,USD,SmComml,,,,,,,
35165396,130812,35165396,189150,SmComml,08/01/2020,08/01/2021,PWA,N,0,0,B,27110904,0,0,0,USD,SmComml,,,,,,,
35165428,130813,35165428,183726,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,2732782,0,0,0,USD,SmComml,,,,,,,
35165623,130814,35165623,189151,SmComml,05/24/2021,05/24/2022,PWA,N,0,0,B,1900751,0,0,0,USD,SmComml,,,,,,,
35165624,130815,35165624,189152,SmComml,04/19/2021,04/19/2022,PWA,N,0,0,B,4350000,0,0,0,USD,SmComml,,,,,,,
35165783,130816,35165783,189153,SmComml,06/02/2021,06/02/2022,PWA,N,0,0,B,296800,0,0,0,USD,SmComml,,,,,,,
35165785,130817,35165785,189154,SmComml,05/16/2021,05/16/2022,PWA,N,0,0,B,54993000,0,0,0,USD,SmComml,,,,,,,
35171387,130818,35171387,183727,SmComml,08/30/2020,08/30/2021,PWA,N,0,0,B,101366000,0,0,0,USD,SmComml,,,,,,,
35171724,130819,35171724,189155,SmComml,06/15/2021,06/15/2022,PWA,N,0,0,B,7925550,0,0,0,USD,SmComml,,,,,,,
35175299,130820,35175299,189156,SmComml,03/01/2021,03/01/2022,PWA,N,0,0,B,708843,0,0,0,USD,SmComml,,,,,,,
35181704,130821,35181704,189157,SmComml,04/01/2021,04/01/2022,PWA,N,0,0,B,7800000,0,0,0,USD,SmComml,,,,,,,
35181742,130822,35181742,189158,SmComml,07/08/2020,07/08/2021,PWA,N,0,0,B,10052000,0,0,0,USD,SmComml,,,,,,,
35181815,130823,35181815,189159,SmComml,05/07/2021,05/07/2022,PWA,N,0,0,B,1069325,0,0,0,USD,SmComml,,,,,,,
35181822,130824,35181822,189160,SmComml,08/25/2020,08/25/2021,PWA,N,0,0,B,413759666,0,0,0,USD,SmComml,,,,,,,
35181828,130825,35181828,198323,SmComml,09/16/2020,09/16/2021,PWA,N,0,0,B,640204,0,0,0,USD,SmComml,,,,,,,
35181855,130826,35181855,183728,SmComml,01/03/2021,01/03/2022,PWA,N,0,0,B,176678,0,0,0,USD,SmComml,,,,,,,
35181863,130827,35181863,189161,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,2149810,0,0,0,USD,SmComml,,,,,,,
35181896,130828,35181896,189162,SmComml,03/08/2021,03/08/2022,PWA,N,0,0,B,1706250,0,0,0,USD,SmComml,,,,,,,
35181919,130829,35181919,183729,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,32525000,0,0,0,USD,SmComml,,,,,,,
35181952,130830,35181952,189163,SmComml,02/19/2021,02/19/2022,PWA,N,0,0,B,365709,0,0,0,USD,SmComml,,,,,,,
35182014,130831,35182014,189164,SmComml,05/29/2021,05/29/2022,PWA,N,0,0,B,4000000,0,0,0,USD,SmComml,,,,,,,
35183571,130832,35183571,183730,SmComml,12/31/2020,12/31/2021,PWA,N,0,0,B,311194358,0,0,0,USD,SmComml,,,,,,,
35183937,130833,35183937,198324,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,124387,0,0,0,USD,SmComml,,,,,,,
35187238,130834,35187238,198325,SmComml,05/01/2021,05/01/2022,PWA,N,0,0,B,6418407,0,0,0,USD,SmComml,,,,,,,
35191188,111666,35191188_WS,162224,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,26153684,0,0,0,USD,SmComml,,,,,,,
35191188,130835,35191188,189165,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,102139526,0,0,0,USD,SmComml,,,,,,,
35191386,130836,35191386,198326,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,12171648,0,0,0,USD,SmComml,,,,,,,
35191630,130837,35191630,189166,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,150000000,0,0,0,USD,SmComml,,,,,,,
35191724,130838,35191724,189167,SmComml,02/17/2021,02/17/2022,PWA,N,0,0,B,3134616,0,0,0,USD,SmComml,,,,,,,
35191868,130839,35191868,189168,SmComml,09/01/2020,09/01/2021,PWA,N,0,0,B,59618310,0,0,0,USD,SmComml,,,,,,,
35191910,130840,35191910,189169,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,32827570,0,0,0,USD,SmComml,,,,,,,
35191979,130841,35191979,183731,SmComml,08/01/2020,08/01/2021,PWA,N,0,0,B,70070000,0,0,0,USD,SmComml,,,,,,,
35192041,130842,35192041,183732,SmComml,08/14/2020,08/14/2021,PWA,N,0,0,B,51700070,0,0,0,USD,SmComml,,,,,,,
35192050,111667,35192050_WS,162498,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,23625000,0,0,0,USD,SmComml,,,,,,,
35192050,130843,35192050,183733,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,115117655,0,0,0,USD,SmComml,,,,,,,
35192117,130844,35192117,183734,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,39931774,0,0,0,USD,SmComml,,,,,,,
35192175,130845,35192175,198327,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,4000000,0,0,0,USD,SmComml,,,,,,,
35193225,130846,35193225,183735,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,19298500,0,0,0,USD,SmComml,,,,,,,
35193567,130847,35193567,198328,SmComml,11/19/2020,11/19/2021,PWA,N,0,0,B,1250001,0,0,0,USD,SmComml,,,,,,,
35193599,130848,35193599,183736,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,149232332,0,0,0,USD,SmComml,,,,,,,
35193720,130849,35193720,198329,SmComml,07/03/2020,07/03/2021,PWA,N,0,0,B,93287,0,0,0,USD,SmComml,,,,,,,
35193748,130850,35193748,189170,SmComml,07/17/2020,07/17/2021,PWA,N,0,0,B,29327250,0,0,0,USD,SmComml,,,,,,,
35193791,130851,35193791,198330,SmComml,07/24/2020,07/24/2021,PWA,N,0,0,B,4319313,0,0,0,USD,SmComml,,,,,,,
35194051,130852,35194051,189171,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,60435000,0,0,0,USD,SmComml,,,,,,,
35194155,130853,35194155,189172,SmComml,08/15/2020,08/15/2021,PWA,N,0,0,B,14184487,0,0,0,USD,SmComml,,,,,,,
35194272,130854,35194272,198331,SmComml,11/19/2020,11/19/2021,PWA,N,0,0,B,925023,0,0,0,USD,SmComml,,,,,,,
35194352,130855,35194352,189173,SmComml,01/16/2021,01/16/2022,PWA,N,0,0,B,6173162,0,0,0,USD,SmComml,,,,,,,
35194727,130856,35194727,189174,SmComml,09/10/2020,09/10/2021,PWA,N,0,0,B,388157,0,0,0,USD,SmComml,,,,,,,
35196596,130857,35196596,198332,SmComml,10/01/2020,10/01/2021,PWA,N,0,0,B,23001044,0,0,0,USD,SmComml,,,,,,,
35196878,130858,35196878,189175,SmComml,01/13/2021,01/13/2022,PWA,N,0,0,B,651921,0,0,0,USD,SmComml,,,,,,,
