UDF1,ContractID,UDF3,LayerID,LOB,InceptionDate,ExpirationDate,Perils,DedType,DedAmt1,DedAmt2,LimitType,Limit1,Limit2,AttachmentAmt,Premium,Currency,InsuredName,SubLimitArea,SubLimitOcc,SubLimitPart,SubLimitLimitType,SubLimitDedType,SubLimitDedAmt1,SubLimitDedAmt2
10863787,130674,10863787,183703,SmComml,04/16/2021,04/16/2022,PWA,N,0,0,B,35744027,0,0,0,USD,SmComml,,,,,,,
12136998,130675,12136998,198267,SmComml,06/23/2020,09/30/2021,PWA,N,0,0,B,3910377,0,0,0,USD,SmComml,,,,,,,
12540215,130676,12540215,198268,SmComml,05/01/2021,05/01/2022,PWA,N,0,0,B,6300000,0,0,0,USD,SmComml,,,,,,,
13183557,130677,13183557,198269,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,350000,0,0,0,USD,SmComml,,,,,,,
21777500,130678,21777500,189091,SmComml,04/01/2021,04/01/2022,PWA,N,0,0,B,895979,0,0,0,USD,SmComml,,,,,,,
21779376,130679,21779376,183704,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,9147625,0,0,0,USD,SmComml,,,,,,,
21779595,130680,21779595,198270,SmComml,07/12/2020,07/12/2021,PWA,N,0,0,B,200566,0,0,0,USD,SmComml,,,,,,,
30035603,130681,30035603,198271,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,2365000,0,0,0,USD,SmComml,,,,,,,
30035604,130682,30035604,198272,SmComml,01/09/2021,01/09/2022,PWA,N,0,0,B,1030000,0,0,0,USD,SmComml,,,,,,,
30035608,130683,30035608,198273,SmComml,02/22/2021,02/22/2022,PWA,N,0,0,B,1740960,0,0,0,USD,SmComml,,,,,,,
30035609,130684,30035609,198274,SmComml,03/01/2021,03/01/2022,PWA,N,0,0,B,4560924,0,0,0,USD,SmComml,,,,,,,
30035623,130685,30035623,189092,SmComml,06/29/2020,09/30/2021,PWA,N,0,0,B,4251197,0,0,0,USD,SmComml,,,,,,,
30035627,130686,30035627,189093,SmComml,08/26/2020,08/26/2021,PWA,N,0,0,B,20375000,0,0,0,USD,SmComml,,,,,,,
30035629,130687,30035629,198275,SmComml,05/12/2021,05/12/2022,PWA,N,0,0,B,17228426,0,0,0,USD,SmComml,,,,,,,
30035631,130688,30035631,189094,SmComml,10/30/2020,10/30/2021,PWA,N,0,0,B,28187432,0,0,0,USD,SmComml,,,,,,,
30035633,130689,30035633,189095,SmComml,10/14/2020,10/14/2021,PWA,N,0,0,B,227240,0,0,0,USD,SmComml,,,,,,,
30035634,130690,30035634,189096,SmComml,12/14/2020,12/14/2021,PWA,N,0,0,B,19264512,0,0,0,USD,SmComml,,,,,,,
30035635,130691,30035635,198276,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,2681250,0,0,0,USD,SmComml,,,,,,,
30035641,130692,30035641,198277,SmComml,02/20/2021,02/20/2022,PWA,N,0,0,B,2150000,0,0,0,USD,SmComml,,,,,,,
30035642,130693,30035642,189097,SmComml,02/20/2021,02/20/2022,PWA,N,0,0,B,15691322,0,0,0,USD,SmComml,,,,,,,
30035646,130694,30035646,198278,SmComml,03/31/2021,03/31/2022,PWA,N,0,0,B,17500000,0,0,0,USD,SmComml,,,,,,,
30035647,130695,30035647,198279,SmComml,04/16/2021,04/16/2022,PWA,N,0,0,B,17868750,0,0,0,USD,SmComml,,,,,,,
30035648,130696,30035648,189098,SmComml,05/01/2021,05/01/2022,PWA,N,0,0,B,4452500,0,0,0,USD,SmComml,,,,,,,
30035650,130697,30035650,198280,SmComml,05/21/2021,05/21/2022,PWA,N,0,0,B,5062500,0,0,0,USD,SmComml,,,,,,,
30035652,130698,30035652,189099,SmComml,05/18/2020,09/30/2021,PWA,N,0,0,B,36250,0,0,0,USD,SmComml,,,,,,,
30035654,130699,30035654,198281,SmComml,06/03/2021,06/03/2022,PWA,N,0,0,B,250000,0,0,0,USD,SmComml,,,,,,,
30035659,130700,30035659,198282,SmComml,07/07/2020,07/07/2021,PWA,N,0,0,B,88120,0,0,0,USD,SmComml,,,,,,,
30035660,130701,30035660,189100,SmComml,07/10/2020,07/10/2021,PWA,N,0,0,B,7173296,0,0,0,USD,SmComml,,,,,,,
30035661,130702,30035661,189101,SmComml,07/10/2020,07/10/2021,PWA,N,0,0,B,7162404,0,0,0,USD,SmComml,,,,,,,
30035664,130703,30035664,198283,SmComml,08/01/2020,08/01/2021,PWA,N,0,0,B,8000000,0,0,0,USD,SmComml,,,,,,,
30035670,130704,30035670,183705,SmComml,12/12/2020,12/12/2021,PWA,N,0,0,B,147447177,0,0,0,USD,SmComml,,,,,,,
30035672,130705,30035672,189102,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,1125000,0,0,0,USD,SmComml,,,,,,,
30035680,130706,30035680,183706,SmComml,05/25/2021,05/25/2022,PWA,N,0,0,B,85675575,0,0,0,USD,SmComml,,,,,,,
32355706,130707,32355706,198284,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,706000,0,0,0,USD,SmComml,,,,,,,
32377423,130708,32377423,198285,SmComml,03/15/2021,03/15/2022,PWA,N,0,0,B,341250,0,0,0,USD,SmComml,,,,,,,
32377440,130709,32377440,198286,SmComml,04/03/2021,04/03/2022,PWA,N,0,0,B,356899,0,0,0,USD,SmComml,,,,,,,
32377464,130710,32377464,198287,SmComml,05/13/2021,05/13/2022,PWA,N,0,0,B,3138565,0,0,0,USD,SmComml,,,,,,,
32377492,130711,32377492,198288,SmComml,06/02/2021,06/02/2022,PWA,N,0,0,B,880327,0,0,0,USD,SmComml,,,,,,,
34320980,130712,34320980,183707,SmComml,11/01/2020,11/01/2021,PWA,N,0,0,B,20093036,0,0,0,USD,SmComml,,,,,,,
34944132,130713,34944132,198289,SmComml,11/01/2020,11/01/2021,PWA,N,0,0,B,1357600,0,0,0,USD,SmComml,,,,,,,
34944209,130714,34944209,198290,SmComml,03/03/2021,03/03/2022,PWA,N,0,0,B,1247944,0,0,0,USD,SmComml,,,,,,,
35021737,130715,35021737,189103,SmComml,07/01/2020,07/01/2021,PWA,N,0,0,B,1209674355,0,0,0,USD,SmComml,,,,,,,
35022807,130716,35022807,198291,SmComml,01/01/2021,01/01/2022,PWA,N,0,0,B,979634,0,0,0,USD,SmComml,,,,,,,
35023227,111659,35023227_WS,162998,SmComml,06/29/2020,09/30/2021,PWA,N,0,0,B,2700000,0,0,0,USD,SmComml,,,,,,,
35023227,130717,35023227,189104,SmComml,06/29/2020,09/30/2021,PWA,N,0,0,B,1100000,0,0,0,USD,SmComml,,,,,,,
