ContractID,LocationID,LocationName,Currency,Street,City,Latitude,Longitude,Subarea,Area,PostalCode,Country,LocPerils,RiskCount,Stories,YearBuilt,OccupancyCodeType,OccupancyCode,ConstructionCodeType,ConstructionCode,ConstructionOther,BuildingValue,OtherValue,ContentsValue,TimeElementValue,LocLimitType,LimitBldg,LimitOther,LimitContent,LimitTime,DeductType,DeductBldg,DeductOther,DeductContent,DeductTime,SubLimitArea,WallAttachedStructure,RoofDeckAttachment,WallType,WallSiding,SmallDebris,SealofApproval,GrossArea,FloorOfInterest,WindowProtection,RoofAnchorage,RoofGeometry,RoofPitch,RoofCover,FoundationConnection,FoundationType,BuildingCondition,LargeMissile,SpecialConstruction,Equipment,Ornamentation,ShapeIrregularity,BuildingShape,ShortColumn,SoftStory,Retrofit,ServiceEquipmentProtection,ContentVulnerability,CustomFloodSOP,FirstFloorHeight,BasementFinishType,BasementLevelCount,CRESTA
131563,1464152,1464152,USD,TWO MUSIC SQUARE WEST,NASHVILLE,0,0,37,TN,37203,US,PWA,1,4,1991,AIR,315,AIR,151,151,6000000,0,1075000,750000,S,7968000,0,0,0,CT,5000,0,0,2054.7945,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
131571,1574648,1574648,USD,511 WARBURTON AVENUE,YONKERS,0,0,119,NY,10701,US,PWA,1,0,0,AIR,317,AIR,101,101,0,0,342902,150000,S,492902,0,0,0,CT,1000,0,0,205.4795,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133414,1470660,1470660,USD,201 COLES ST,JERSEY CITY,0,0,17,NJ,07310,US,PWA,1,11,1927,AIR,341,AIR,111,111,0,0,250000,650000,S,900000,0,0,0,CT,5000,0,0,1780.8218999999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133414,1470662,1470662,USD,2000 REGENCY PKWY,CARY,0,0,183,NC,27518,US,PWA,1,6,1984,AIR,315,AIR,111,111,0,0,108725,650000,S,758725,0,0,0,CT,5000,0,0,1780.8218999999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133418,1578780,1578780,USD,1890 PALMER AVENUE,LARCHMONT,0,0,119,NY,10538,US,PWA,1,0,0,AIR,326,AIR,111,111,0,0,17132,0,S,17132,0,0,0,CT,1000,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133867,1579779,1579779,USD,9045 STRADA STELL CT,NAPLES,0,0,21,FL,34109,US,PWA,1,5,2008,AIR,315,AIR,151,151,53376,0,1290000,576493,S,1919869,0,0,0,C,0,0,0,1579.4329,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133868,1473261,1473261,USD,336 OYSTER POINT BLVD,SOUTH SAN FRANCISCO,0,0,81,CA,94080,US,PWA,1,1,1972,AIR,315,AIR,111,111,0,0,25000,0,S,25000,0,0,0,CT,5000,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133873,1579788,1579788,USD,2900 SPRING MOUNTAIN RD,NAPA,0,0,55,CA,94559,US,PWA,1,0,0,AIR,324,AIR,101,101,0,0,120000,0,S,120000,0,0,0,CT,1000,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133875,1473275,1473275,USD,9245 LAGUNA SPRINGS DR,ELK GROVE,0,0,67,CA,95758,US,PWA,1,3,0,AIR,351,AIR,111,111,0,0,1231556,1131079,S,2362635,0,0,0,CT,5000,0,0,3098.8465999999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
135192,1479591,1479591,USD,408 AVENUE OF THE STATES,CHESTER,0,0,45,PA,19013,US,PWA,1,0,0,AIR,317,AIR,111,111,4128983,0,1006524,0,S,5135507,0,0,0,CT,1000,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
