UDF1,ContractID,UDF3,LayerID,LOB,InceptionDate,ExpirationDate,Perils,DedType,DedAmt1,DedAmt2,LimitType,Limit1,Limit2,AttachmentAmt,Premium,Currency,InsuredName
Personal,1555943,Personal,5017868,Personal,01/06/2021,01/06/2022,PWA,N,0,0,B,10000000,0,0,0,USD,Personal
Personal,1555906,Personal,5017711,Personal,04/18/2021,04/18/2022,PWA,N,0,0,B,51214604.773986794,0,0,0,USD,Personal
Personal,1555936,Personal,5017837,Personal,04/14/2021,04/14/2022,PWA,N,0,0,B,25000000,0,0,0,USD,Personal
Personal,1555918,Personal,5017759,Personal,06/01/2021,06/01/2022,PWA,N,0,0,B,30000000,0,0,0,USD,Personal
Personal,1555996,Personal,5018105,Personal,10/21/2020,10/21/2021,PWA,N,0,0,B,50000000,0,0,0,USD,Personal
Personal,1555952,Personal,5017913,Personal,01/15/2021,01/15/2022,PWA,N,0,0,B,100000000,0,0,0,USD,Personal
Personal,1555907,Personal,5017716,Personal,04/01/2021,04/01/2022,PWA,N,0,0,B,25000000,0,0,0,USD,Personal
Personal,1555937,Personal,5017842,Personal,05/01/2021,05/01/2022,PWA,N,0,0,B,4000000,0,0,0,USD,Personal
Personal,1556052,Personal,5018365,Personal,06/18/2020,06/18/2021,PWA,N,0,0,B,110000000,0,0,0,USD,Personal
Personal,1555987,Personal,5018072,Personal,10/18/2020,10/18/2021,PWA,N,0,0,B,117794104.8769625,0,0,0,USD,Personal
Personal,1555988,Personal,5018077,Personal,10/07/2020,10/07/2021,PWA,N,0,0,B,26000000,0,0,0,USD,Personal
Personal,1555989,Personal,5018082,Personal,09/28/2020,09/28/2021,PWA,N,0,0,B,50000000,0,0,0,USD,Personal
Personal,1556017,Personal,5018198,Personal,12/01/2020,12/01/2021,PWA,N,0,0,B,38000000,0,0,0,USD,Personal
Personal,1556020,Personal,5018213,Personal,12/01/2020,12/01/2021,PWA,N,0,0,B,24000000,0,0,0,USD,Personal
Personal,1555959,Personal,5017944,Personal,12/21/2020,12/21/2021,PWA,N,0,0,B,100000000,0,0,0,USD,Personal
Personal,1555938,Personal,5017847,Personal,03/12/2021,03/12/2022,PWA,N,0,0,B,15000000,0,0,0,USD,Personal
Personal,1555908,Personal,5017721,Personal,03/24/2021,03/24/2022,PWA,N,0,0,B,44000000,0,0,0,USD,Personal
Personal,1555939,Personal,5017852,Personal,04/04/2021,04/04/2022,PWA,N,0,0,B,28000000,0,0,0,USD,Personal
Personal,1556067,Personal,5018432,Personal,07/15/2020,07/15/2021,PWA,N,0,0,B,150000000,0,0,0,USD,Personal
Personal,1556031,Personal,5018268,Personal,07/01/2020,07/01/2021,PWA,N,0,0,B,85000000,0,0,0,USD,Personal
Personal,1556061,Personal,5018402,Personal,06/21/2020,06/21/2021,PWA,N,0,0,B,75000000,0,0,0,USD,Personal
Personal,1556032,Personal,5018273,Personal,07/04/2020,07/04/2021,PWA,N,0,0,B,75000000,0,0,0,USD,Personal
Personal,1556053,Personal,5018370,Personal,07/01/2020,07/19/2021,PWA,N,0,0,B,275000000,0,0,0,USD,Personal
Personal,1556033,Personal,5018278,Personal,07/03/2020,07/03/2021,PWA,N,0,0,B,62547800.268809997,0,0,0,USD,Personal
Personal,1555997,Personal,5018110,Personal,08/16/2020,08/16/2021,PWA,N,0,0,B,75000000,0,0,0,USD,Personal
Personal,1556034,Personal,5018283,Personal,08/15/2020,08/15/2021,PWA,N,0,0,B,6000000,0,0,0,USD,Personal
Personal,1556062,Personal,5018407,Personal,07/15/2020,07/15/2021,PWA,N,0,0,B,25000000,0,0,0,USD,Personal
Personal,1556019,Personal,5018208,Personal,09/01/2020,09/01/2021,PWA,N,0,0,B,40885400,0,0,0,USD,Personal
Personal,1556057,Personal,5018386,Personal,09/01/2020,09/01/2021,PWA,N,0,0,B,15000000,0,0,0,USD,Personal
Personal,1556035,Personal,5018288,Personal,08/15/2020,08/15/2021,PWA,N,0,0,B,30000000,0,0,0,USD,Personal
Personal,1555990,Personal,5018087,Personal,09/12/2020,09/12/2021,PWA,N,0,0,B,20000000,0,0,0,USD,Personal
Personal,1556048,Personal,5018345,Personal,09/13/2020,09/13/2021,PWA,N,0,0,B,35000000,0,0,0,USD,Personal
Personal,1556049,Personal,5018350,Personal,08/01/2020,08/01/2021,PWA,N,0,0,B,90000000,0,0,0,USD,Personal
Personal,1556021,Personal,5018218,Personal,11/15/2020,11/15/2021,PWA,N,0,0,B,70000000,0,0,0,USD,Personal
Personal,1556006,Personal,5018147,Personal,10/15/2020,10/15/2021,PWA,N,0,0,B,35000000,0,0,0,USD,Personal
Personal,1556036,Personal,5018293,Personal,07/01/2020,07/01/2021,PWA,N,0,0,B,40000000,0,0,0,USD,Personal
Personal,1556058,Personal,5018391,Personal,08/06/2020,08/06/2021,PWA,N,0,0,B,50000000,0,0,0,USD,Personal
Personal,1556068,Personal,5018437,Personal,08/10/2020,08/10/2021,PWA,N,0,0,B,20000000,0,0,0,USD,Personal
Personal,1556059,Personal,5018396,Personal,09/01/2020,09/01/2021,PWA,N,0,0,B,45000000,0,0,0,USD,Personal
Personal,1556063,Personal,5018412,Personal,09/01/2020,09/01/2021,PWA,N,0,0,B,15000000,0,0,0,USD,Personal
Personal,1556007,Personal,5018152,Personal,11/01/2020,11/01/2021,PWA,N,0,0,B,35000000,0,0,0,USD,Personal
Personal,1556018,Personal,5018203,Personal,11/01/2020,11/01/2021,PWA,N,0,0,B,8000000,0,0,0,USD,Personal
Personal,1555998,Personal,5018115,Personal,11/04/2020,11/04/2021,PWA,N,0,0,B,50000000,0,0,0,USD,Personal
Personal,1556038,Personal,5018303,Personal,09/01/2020,09/01/2021,PWA,N,0,0,B,36976274.914945342,0,0,0,USD,Personal
Personal,1556064,Personal,5018417,Personal,08/15/2020,08/15/2021,PWA,N,0,0,B,25000000,0,0,0,USD,Personal
Personal,1556065,Personal,5018422,Personal,08/15/2020,08/15/2021,PWA,N,0,0,B,50000000,0,0,0,USD,Personal
Personal,1556002,Personal,5018131,Personal,09/26/2020,09/26/2021,PWA,N,0,0,B,30000000,0,0,0,USD,Personal
Personal,1556023,Personal,5018228,Personal,12/01/2020,12/01/2021,PWA,N,0,0,B,130737759.81200001,0,0,0,USD,Personal
Personal,1556003,Personal,5018136,Personal,10/01/2020,10/01/2021,PWA,N,0,0,B,162178464.646,0,0,0,USD,Personal
Personal,1556004,Personal,5018141,Personal,10/26/2020,10/26/2021,PWA,N,0,0,B,46382382.600000009,0,0,0,USD,Personal
Personal,1556024,Personal,5018233,Personal,10/06/2020,10/06/2021,PWA,N,0,0,B,12500000,0,0,0,USD,Personal
Personal,1555976,Personal,5018025,Personal,12/15/2020,12/15/2021,PWA,N,0,0,B,14070185.759999998,0,0,0,USD,Personal
Personal,1556012,Personal,5018173,Personal,11/01/2020,11/01/2021,PWA,N,0,0,B,40000000,0,0,0,USD,Personal
Personal,1555945,Personal,5017878,Personal,01/08/2021,01/08/2022,PWA,N,0,0,B,21000000,0,0,0,USD,Personal
Personal,1555956,Personal,5017929,Personal,01/13/2020,01/13/2021,PWA,N,0,0,B,121829895.80937831,0,0,0,USD,Personal
Personal,1555947,Personal,5017888,Personal,02/01/2021,02/01/2022,PWA,N,0,0,B,6300445.8490325119,0,0,0,USD,Personal
Personal,1555949,Personal,5017898,Personal,02/01/2021,02/01/2022,PWA,N,0,0,B,40000000,0,0,0,USD,Personal
Personal,1555973,Personal,5018010,Personal,02/09/2021,02/09/2022,PWA,N,0,0,B,50000000,0,0,0,USD,Personal
Personal,1556014,Personal,5018183,Personal,12/01/2020,12/01/2021,PWA,N,0,0,B,100000000,0,0,0,USD,Personal
Personal,1555967,Personal,5017984,Personal,10/02/2021,10/02/2022,PWA,N,0,0,B,106472200.79947498,0,0,0,USD,Personal
Personal,1556025,Personal,5018238,Personal,12/01/2020,12/01/2021,PWA,N,0,0,B,50000000,0,0,0,USD,Personal
Personal,1555977,Personal,5018030,Personal,02/19/2021,02/19/2022,PWA,N,0,0,B,81106178.765554532,0,0,0,USD,Personal
Personal,1556026,Personal,5018243,Personal,12/12/2020,12/12/2021,PWA,N,0,0,B,37000000,0,0,0,USD,Personal
Personal,1555962,Personal,5017959,Personal,01/03/2021,01/03/2022,PWA,N,0,0,B,26933561.635650165,0,0,0,USD,Personal
Personal,1555964,Personal,5017969,Personal,01/03/2021,01/03/2022,PWA,N,0,0,B,78652338.478156522,0,0,0,USD,Personal
Personal,1555969,Personal,5017994,Personal,03/15/2021,03/15/2022,PWA,N,0,0,B,17000000,0,0,0,USD,Personal
Personal,1555910,Personal,5017727,Personal,03/21/2021,03/21/2022,PWA,N,0,0,B,41944556.935802281,0,0,0,USD,Personal
Personal,1555950,Personal,5017903,Personal,02/01/2021,02/01/2022,PWA,N,0,0,B,20000000,0,0,0,USD,Personal
Personal,1555921,Personal,5017774,Personal,04/01/2021,04/01/2022,PWA,N,0,0,B,150909000,0,0,0,USD,Personal
Personal,1555922,Personal,5017779,Personal,04/01/2021,07/01/2021,PWA,N,0,0,B,13064040.199999999,0,0,0,USD,Personal
Personal,1555931,Personal,5017812,Personal,04/17/2021,04/17/2022,PWA,N,0,0,B,72000000,0,0,0,USD,Personal
Personal,1555923,Personal,5017784,Personal,04/24/2021,04/24/2022,PWA,N,0,0,B,10000000,0,0,0,USD,Personal
Personal,1555932,Personal,5017817,Personal,04/27/2021,04/27/2022,PWA,N,0,0,B,85000000,0,0,0,USD,Personal
Personal,1556069,Personal,5018442,Personal,05/06/2020,05/06/2021,PWA,N,0,0,B,62246834.572838001,0,0,0,USD,Personal
Personal,1555979,Personal,5018040,Personal,02/01/2021,02/01/2022,PWA,N,0,0,B,40000000,0,0,0,USD,Personal
Personal,1555914,Personal,5017739,Personal,04/29/2021,04/29/2022,PWA,N,0,0,B,15000000,0,0,0,USD,Personal
Personal,1555933,Personal,5017822,Personal,06/01/2021,06/01/2022,PWA,N,0,0,B,311133581.80000001,0,0,0,USD,Personal
Personal,1555934,Personal,5017827,Personal,06/01/2021,06/01/2022,PWA,N,0,0,B,325064086.60000014,0,0,0,USD,Personal
Personal,1555916,Personal,5017749,Personal,06/01/2021,06/01/2022,PWA,N,0,0,B,14198109.47301566,0,0,0,USD,Personal
Personal,1555925,Personal,5017794,Personal,06/01/2021,06/01/2022,PWA,N,0,0,B,43329515.200000003,0,0,0,USD,Personal
Personal,1556071,Personal,5018452,Personal,06/01/2020,06/01/2021,PWA,N,0,0,B,25000000,0,0,0,USD,Personal
Personal,1556054,Personal,5018375,Personal,06/15/2020,06/15/2021,PWA,N,0,0,B,110936089.84048,0,0,0,USD,Personal
Personal,1556043,Personal,5018328,Personal,06/27/2020,06/27/2021,PWA,N,0,0,B,10000000,0,0,0,USD,Personal
Personal,1556044,Personal,5018333,Personal,06/30/2020,06/30/2021,PWA,N,0,0,B,41000000,0,0,0,USD,Personal
Personal,1556072,Personal,5018457,Personal,06/12/2020,06/12/2021,PWA,N,0,0,B,30000000,0,0,0,USD,Personal
Personal,1555960,Personal,5017949,Personal,01/01/2021,01/01/2022,PWA,N,0,0,B,60000000,0,0,0,USD,Personal
Personal,1555980,Personal,5018045,Personal,10/01/2020,10/01/2021,PWA,N,0,0,B,30000000,0,0,0,USD,Personal
Personal,1556015,Personal,5018188,Personal,11/01/2020,11/01/2021,PWA,N,0,0,B,30000000,0,0,0,USD,Personal
Personal,1556027,Personal,5018248,Personal,10/14/2020,10/14/2021,PWA,N,0,0,B,30000000,0,0,0,USD,Personal
Personal,1555957,Personal,5017934,Personal,01/01/2021,01/01/2022,PWA,N,0,0,B,20000000,0,0,0,USD,Personal
Personal,1556028,Personal,5018253,Personal,12/01/2020,12/01/2021,PWA,N,0,0,B,35000000,0,0,0,USD,Personal
Personal,1555965,Personal,5017974,Personal,01/01/2021,01/01/2022,PWA,N,0,0,B,60000000,0,0,0,USD,Personal
Personal,1555951,Personal,5017908,Personal,12/10/2020,12/10/2021,PWA,N,0,0,B,36000000,0,0,0,USD,Personal
Personal,1555970,Personal,5017999,Personal,01/03/2021,01/03/2022,PWA,N,0,0,B,147151386.17895997,0,0,0,USD,Personal
Personal,1555971,Personal,5018004,Personal,01/03/2021,01/03/2022,PWA,N,0,0,B,75000000,0,0,0,USD,Personal
Personal,1555917,Personal,5017754,Personal,04/01/2021,04/01/2022,PWA,N,0,0,B,62000000,0,0,0,USD,Personal
Personal,1555911,Personal,5017732,Personal,04/19/2021,04/19/2022,PWA,N,0,0,B,160000000,0,0,0,USD,Personal
Personal,1555927,Personal,5017800,Personal,05/13/2021,05/13/2022,PWA,N,0,0,B,55000000,0,0,0,USD,Personal
Personal,1556055,Personal,5018380,Personal,06/01/2020,06/01/2021,PWA,N,0,0,B,30608415.800000001,0,0,0,USD,Personal
Personal,1555991,Personal,5018092,Personal,09/13/2020,09/23/2021,PWA,N,0,0,B,164182027.58000001,0,0,0,USD,Personal
Personal,1556013,Personal,5018178,Personal,10/01/2020,10/01/2021,PWA,N,0,0,B,106695313.5,0,0,0,USD,Personal
Personal,1555981,Personal,5018050,Personal,10/04/2020,10/04/2021,PWA,N,0,0,B,70000000,0,0,0,USD,Personal
Personal,1556073,Personal,5018462,Personal,06/15/2020,06/15/2021,PWA,N,0,0,B,338568103.79999995,0,0,0,USD,Personal
Personal,1555992,Personal,5018097,Personal,10/28/2020,10/28/2021,PWA,N,0,0,B,175000000,0,0,0,USD,Personal
Personal,1555982,Personal,5018055,Personal,10/15/2020,10/15/2021,PWA,N,0,0,B,40000000,0,0,0,USD,Personal
Personal,1556029,Personal,5018258,Personal,12/17/2020,12/17/2021,PWA,N,0,0,B,70000000,0,0,0,USD,Personal
Personal,1555953,Personal,5017918,Personal,01/01/2021,01/01/2022,PWA,N,0,0,B,60000000,0,0,0,USD,Personal
Personal,1555978,Personal,5018035,Personal,01/21/2021,01/21/2022,PWA,N,0,0,B,40000000,0,0,0,USD,Personal
Personal,1555941,Personal,5017858,Personal,03/30/2021,03/30/2022,PWA,N,0,0,B,33000000,0,0,0,USD,Personal
Personal,1555958,Personal,5017939,Personal,01/01/2021,01/01/2022,PWA,N,0,0,B,20000000,0,0,0,USD,Personal
Personal,1555928,Personal,5017805,Personal,06/05/2021,06/05/2022,PWA,N,0,0,B,77000000,0,0,0,USD,Personal
Personal,1556040,Personal,5018313,Personal,06/08/2020,06/08/2021,PWA,N,0,0,B,40000000,0,0,0,USD,Personal
Personal,1556047,Personal,5018340,Personal,07/01/2020,07/01/2021,PWA,N,0,0,B,54000000,0,0,0,USD,Personal
Personal,1556008,Personal,5018157,Personal,09/01/2020,09/01/2021,PWA,N,0,0,B,15000000,0,0,0,USD,Personal
Personal,1556016,Personal,5018193,Personal,11/05/2020,11/05/2021,PWA,N,0,0,B,40000000,0,0,0,USD,Personal
Personal,1555961,Personal,5017954,Personal,01/01/2021,01/01/2022,PWA,N,0,0,B,90000000,0,0,0,USD,Personal
Personal,1555955,Personal,5017924,Personal,12/15/2020,12/15/2021,PWA,N,0,0,B,25000000,0,0,0,USD,Personal
Personal,1555974,Personal,5018015,Personal,12/31/2020,12/31/2021,PWA,N,0,0,B,30000000,0,0,0,USD,Personal
Personal,1455262,Personal,4715914,Personal,10/09/2020,10/09/2021,PWA,N,0,0,B,149000,0,0,0,USD,Personal
Personal,1455272,Personal,4715915,Personal,05/12/2021,05/12/2022,PWA,N,0,0,B,358400,0,0,0,USD,Personal
Personal,1455279,Personal,4716769,Personal,05/12/2021,05/12/2022,PWA,N,0,0,B,557200,0,0,0,USD,Personal
Personal,1455315,Personal,4716771,Personal,05/12/2021,05/12/2022,PWA,N,0,0,B,557200,0,0,0,USD,Personal
Personal,1455382,Personal,4719123,Personal,11/01/2020,11/01/2021,PWA,N,0,0,B,496024.20000000001,0,0,0,USD,Personal
Personal,1455454,Personal,4719131,Personal,11/01/2020,11/01/2021,PWA,N,0,0,B,319337.20000000001,0,0,0,USD,Personal
Personal,1455492,Personal,4717215,Personal,05/14/2021,05/14/2022,PWA,N,0,0,B,358400,0,0,0,USD,Personal
Personal,1455519,Personal,4717220,Personal,05/14/2021,05/14/2022,PWA,N,0,0,B,358400,0,0,0,USD,Personal
Personal,1455533,Personal,4719145,Personal,05/14/2021,05/14/2022,PWA,N,0,0,B,557200,0,0,0,USD,Personal
Personal,1455552,Personal,4716173,Personal,05/14/2021,05/14/2022,PWA,N,0,0,B,358400,0,0,0,USD,Personal
Personal,1455556,Personal,4715736,Personal,05/14/2021,05/14/2022,PWA,N,0,0,B,557200,0,0,0,USD,Personal
Personal,1455568,Personal,4715740,Personal,05/14/2021,05/14/2022,PWA,N,0,0,B,358400,0,0,0,USD,Personal
Personal,1455681,Personal,4716188,Personal,02/01/2021,02/01/2022,PWA,N,0,0,B,321328,0,0,0,USD,Personal
Personal,1455693,Personal,4717249,Personal,02/01/2021,02/01/2022,PWA,N,0,0,B,321328,0,0,0,USD,Personal
Personal,1455747,Personal,4718975,Personal,12/02/2020,12/02/2021,PWA,N,0,0,B,341867,0,0,0,USD,Personal
Personal,1455795,Personal,4715979,Personal,12/13/2020,12/13/2021,PWA,N,0,0,B,645543,0,0,0,USD,Personal
Personal,1455834,Personal,4715770,Personal,12/21/2020,12/21/2021,PWA,N,0,0,B,4679600,0,0,0,USD,Personal
Personal,1455855,Personal,4715776,Personal,12/21/2020,12/21/2021,PWA,N,0,0,B,11407654,0,0,0,USD,Personal
Personal,1455871,Personal,4716221,Personal,12/16/2020,12/16/2021,PWA,N,0,0,B,3018760,0,0,0,USD,Personal
Personal,1455889,Personal,4719182,Personal,01/08/2021,01/08/2022,PWA,N,0,0,B,1960607,0,0,0,USD,Personal
Personal,1455987,Personal,4716842,Personal,01/30/2021,01/30/2022,PWA,N,0,0,B,2465800,0,0,0,USD,Personal
Personal,1456033,Personal,4716642,Personal,02/07/2021,02/07/2022,PWA,N,0,0,B,2123000,0,0,0,USD,Personal
Personal,1456041,Personal,4719200,Personal,02/10/2021,02/10/2022,PWA,N,0,0,B,1304318,0,0,0,USD,Personal
Personal,1456052,Personal,4715806,Personal,01/15/2021,01/15/2022,PWA,N,0,0,B,992000,0,0,0,USD,Personal
Personal,1456125,Personal,4716018,Personal,02/24/2021,02/24/2022,PWA,N,0,0,B,1067402,0,0,0,USD,Personal
Personal,1456279,Personal,4716678,Personal,03/26/2021,03/26/2022,PWA,N,0,0,B,1010200,0,0,0,USD,Personal
Personal,1456338,Personal,4716044,Personal,04/02/2021,04/02/2022,PWA,N,0,0,B,1803623,0,0,0,USD,Personal
Personal,1456345,Personal,4716046,Personal,04/03/2021,04/03/2022,PWA,N,0,0,B,1914877,0,0,0,USD,Personal
Personal,1456439,Personal,4716695,Personal,04/22/2021,04/22/2022,PWA,N,0,0,B,962419,0,0,0,USD,Personal
Personal,1456512,Personal,4716073,Personal,04/30/2021,04/30/2022,PWA,N,0,0,B,8306518,0,0,0,USD,Personal
Personal,1456519,Personal,4717361,Personal,05/01/2021,05/01/2022,PWA,N,0,0,B,1473200,0,0,0,USD,Personal
Personal,1456601,Personal,4716299,Personal,05/14/2021,05/14/2022,PWA,N,0,0,B,5799981,0,0,0,USD,Personal
Personal,1456738,Personal,4719105,Personal,05/29/2021,05/29/2022,PWA,N,0,0,B,5532488,0,0,0,USD,Personal
Personal,1456937,Personal,4716355,Personal,06/27/2020,06/27/2021,PWA,N,0,0,B,163000,0,0,0,USD,Personal
Personal,1456938,Personal,4716951,Personal,06/29/2020,06/29/2021,PWA,N,0,0,B,5149722,0,0,0,USD,Personal
Personal,1456970,Personal,4716359,Personal,07/01/2020,07/01/2021,PWA,N,0,0,B,2824543,0,0,0,USD,Personal
Personal,1456992,Personal,4716957,Personal,07/01/2020,07/01/2021,PWA,N,0,0,B,2345400,0,0,0,USD,Personal
Personal,1457013,Personal,4719316,Personal,06/30/2020,06/30/2021,PWA,N,0,0,B,7212718,0,0,0,USD,Personal
Personal,1457035,Personal,4716367,Personal,05/01/2021,05/01/2022,PWA,N,0,0,B,1284991,0,0,0,USD,Personal
Personal,1457287,Personal,4717032,Personal,08/08/2020,08/08/2021,PWA,N,0,0,B,4124800,0,0,0,USD,Personal
Personal,1457296,Personal,4720456,Personal,08/11/2020,08/11/2021,PWA,N,0,0,B,1468800,0,0,0,USD,Personal
Personal,1457348,Personal,4718273,Personal,08/19/2020,08/19/2021,PWA,N,0,0,B,5883400,0,0,0,USD,Personal
Personal,1457415,Personal,4718097,Personal,08/23/2020,08/23/2021,PWA,N,0,0,B,2877260,0,0,0,USD,Personal
Personal,1457466,Personal,4716405,Personal,09/09/2020,09/09/2021,PWA,N,0,0,B,4976882,0,0,0,USD,Personal
Personal,1457556,Personal,4718754,Personal,09/27/2020,09/27/2021,PWA,N,0,0,B,957200,0,0,0,USD,Personal
Personal,1457604,Personal,4718758,Personal,09/20/2020,09/20/2021,PWA,N,0,0,B,3351604,0,0,0,USD,Personal
Personal,1457620,Personal,4718322,Personal,10/01/2020,10/01/2021,PWA,N,0,0,B,539400,0,0,0,USD,Personal
Personal,1457629,Personal,4717074,Personal,10/01/2020,10/01/2021,PWA,N,0,0,B,2000802,0,0,0,USD,Personal
Personal,1457713,Personal,4718133,Personal,09/21/2020,09/21/2021,PWA,N,0,0,B,5352800,0,0,0,USD,Personal
Personal,1457823,Personal,4718145,Personal,11/03/2020,11/03/2021,PWA,N,0,0,B,964400,0,0,0,USD,Personal
Personal,1457866,Personal,4718785,Personal,11/09/2020,11/09/2021,PWA,N,0,0,B,1680000,0,0,0,USD,Personal
Personal,1457877,Personal,4720531,Personal,11/15/2020,11/15/2021,PWA,N,0,0,B,962600,0,0,0,USD,Personal
Personal,1457885,Personal,4718789,Personal,11/15/2020,11/15/2021,PWA,N,0,0,B,2520000,0,0,0,USD,Personal
Personal,1458026,Personal,4716463,Personal,12/05/2020,12/05/2021,PWA,N,0,0,B,2983200,0,0,0,USD,Personal
Personal,1458098,Personal,4718817,Personal,06/21/2020,06/21/2021,PWA,N,0,0,B,1344584,0,0,0,USD,Personal
Personal,1458123,Personal,4718822,Personal,06/25/2020,06/25/2021,PWA,N,0,0,B,246400,0,0,0,USD,Personal
Personal,1458218,Personal,4718184,Personal,08/28/2020,08/28/2021,PWA,N,0,0,B,1610400,0,0,0,USD,Personal
Personal,1458296,Personal,4720980,Personal,10/03/2020,10/03/2021,PWA,N,0,0,B,398055,0,0,0,USD,Personal
Personal,1458303,Personal,4717787,Personal,10/22/2020,10/22/2021,PWA,N,0,0,B,6030400,0,0,0,USD,Personal
Personal,1458390,Personal,4722945,Personal,12/01/2020,12/01/2021,PWA,N,0,0,B,6755287,0,0,0,USD,Personal
Personal,1458450,Personal,4717807,Personal,12/28/2020,12/28/2021,PWA,N,0,0,B,4954979,0,0,0,USD,Personal
Personal,1458452,Personal,4716513,Personal,02/12/2021,02/12/2022,PWA,N,0,0,B,6017000,0,0,0,USD,Personal
Personal,1458570,Personal,4721018,Personal,03/29/2021,03/29/2022,PWA,N,0,0,B,1589000,0,0,0,USD,Personal
Personal,1458581,Personal,4718445,Personal,03/25/2021,03/25/2022,PWA,N,0,0,B,3090400,0,0,0,USD,Personal
Personal,1458587,Personal,4718878,Personal,03/28/2021,03/28/2022,PWA,N,0,0,B,2688195,0,0,0,USD,Personal
Personal,1458636,Personal,4718886,Personal,04/02/2021,04/02/2022,PWA,N,0,0,B,1795837,0,0,0,USD,Personal
Personal,1458643,Personal,4717852,Personal,04/08/2021,04/08/2022,PWA,N,0,0,B,3550970,0,0,0,USD,Personal
Personal,1458661,Personal,4722983,Personal,08/07/2020,08/07/2021,PWA,N,0,0,B,1415800,0,0,0,USD,Personal
Personal,1458684,Personal,4717828,Personal,07/29/2020,07/29/2021,PWA,N,0,0,B,1830400,0,0,0,USD,Personal
Personal,1458902,Personal,4717421,Personal,08/28/2020,08/28/2021,PWA,N,0,0,B,2526135,0,0,0,USD,Personal
Personal,1458914,Personal,4723016,Personal,06/01/2021,06/01/2022,PWA,N,0,0,B,2756238,0,0,0,USD,Personal
Personal,1459140,Personal,4717457,Personal,08/25/2020,08/25/2021,PWA,N,0,0,B,1179400,0,0,0,USD,Personal
Personal,1459176,Personal,4722574,Personal,09/15/2020,09/15/2021,PWA,N,0,0,B,3781976,0,0,0,USD,Personal
Personal,1459299,Personal,4717478,Personal,09/07/2020,09/07/2021,PWA,N,0,0,B,2145400,0,0,0,USD,Personal
Personal,1459308,Personal,4719393,Personal,09/08/2020,09/08/2021,PWA,N,0,0,B,1742800,0,0,0,USD,Personal
Personal,1459371,Personal,4721339,Personal,09/15/2020,09/15/2021,PWA,N,0,0,B,3756800,0,0,0,USD,Personal
Personal,1459415,Personal,4721346,Personal,09/19/2020,09/19/2021,PWA,N,0,0,B,2171800,0,0,0,USD,Personal
Personal,1459534,Personal,4720056,Personal,09/28/2020,09/28/2021,PWA,N,0,0,B,2501200,0,0,0,USD,Personal
Personal,1459559,Personal,4720061,Personal,08/07/2020,08/07/2021,PWA,N,0,0,B,7791000,0,0,0,USD,Personal
Personal,1459579,Personal,4719840,Personal,08/09/2020,08/09/2021,PWA,N,0,0,B,2266520,0,0,0,USD,Personal
Personal,1459583,Personal,4717517,Personal,10/01/2020,10/01/2021,PWA,N,0,0,B,3350000,0,0,0,USD,Personal
Personal,1459639,Personal,4719430,Personal,10/05/2020,10/05/2021,PWA,N,0,0,B,7415200,0,0,0,USD,Personal
Personal,1459696,Personal,4723117,Personal,10/15/2020,10/15/2021,PWA,N,0,0,B,12041800,0,0,0,USD,Personal
Personal,1459838,Personal,4719455,Personal,10/27/2020,10/27/2021,PWA,N,0,0,B,4367988,0,0,0,USD,Personal
Personal,1459970,Personal,4717565,Personal,09/05/2020,09/05/2021,PWA,N,0,0,B,2061400,0,0,0,USD,Personal
