UDF1,ContractID,UDF3,LayerID,LOB,InceptionDate,ExpirationDate,Perils,DedType,DedAmt1,DedAmt2,LimitType,Limit1,Limit2,AttachmentAmt,Premium,Currency,InsuredName
Personal,1555975,Personal,5018020,Personal,01/02/2021,01/02/2022,PWA,N,0,0,B,45000000,0,0,0,USD,Personal
Personal,1556041,Personal,5018318,Personal,08/01/2020,08/01/2021,PWA,N,0,0,B,20000000,0,0,0,USD,Personal
Personal,1556000,Personal,5018121,Personal,10/18/2020,10/18/2021,PWA,N,0,0,B,30000000,0,0,0,USD,Personal
Personal,1555942,Personal,5017863,Personal,01/29/2021,01/29/2022,PWA,N,0,0,B,16000000,0,0,0,USD,Personal
Personal,1556030,Personal,5018263,Personal,11/01/2020,11/01/2021,PWA,N,0,0,B,40000000,0,0,0,USD,Personal
Personal,1556051,Personal,5018360,Personal,06/01/2020,06/01/2021,PWA,N,0,0,B,55000000,0,0,0,USD,Personal
Personal,1555966,Personal,5017979,Personal,01/01/2021,01/01/2022,PWA,N,0,0,B,40000000,0,0,0,USD,Personal
Personal,1555935,Personal,5017832,Personal,03/31/2021,03/31/2022,PWA,N,0,0,B,406154725,0,0,0,USD,Personal
Personal,1555905,Personal,5017706,Personal,04/11/2021,04/11/2022,PWA,N,0,0,B,25000000,0,0,0,USD,Personal
Personal,1556066,Personal,5018427,Personal,08/19/2020,08/19/2021,PWA,N,0,0,B,30000000,0,0,0,USD,Personal
Personal,1556001,Personal,5018126,Personal,09/07/2020,09/07/2021,PWA,N,0,0,B,40000000,0,0,0,USD,Personal
Personal,1555985,Personal,5018062,Personal,10/31/2020,10/31/2021,PWA,N,0,0,B,25000000,0,0,0,USD,Personal
Personal,1556009,Personal,5018162,Personal,11/01/2020,11/01/2021,PWA,N,0,0,B,175000000,0,0,0,USD,Personal
Personal,1556010,Personal,5018167,Personal,11/01/2020,11/01/2021,PWA,N,0,0,B,100000000,0,0,0,USD,Personal
